Title,Authors,Publish Date,Summary,Category
Trump warms up for debate by threatening to jail election officials,Stephen Collinson,09/09/2024,"That makes Tuesday’s debate — the first since June’s consequential clash on CNN that eventually ended Biden’s campaign — the most critical scheduled event before Election Day.
Harris is holed up in Pittsburgh with staff to hone her skills for the test of facing Trump in a debate.
The vice president had pushed to overturn the restriction in the hope she could use her skills as a former prosecutor to dress down Trump in real time.
This presents possible room for growth for the vice president.
Trump is not staging mock debates — he’s just venting in publicTrump’s debate prep is the most unorthodox of any modern presidential candidate.",world
Trump threatens prosecution of 2024 election officials who ‘cheated’ if he wins presidency,"Kate Sullivan, Jack Forrest",09/08/2024,"CNN —Former President Donald Trump on Saturday threatened prosecution and “long term prison sentences” for election officials and political operatives, who he suggested could cheat in the 2024 election, if he again wins the presidency in November.
It was a Disgrace to our Nation!”Despite Trump’s repeated claims, the 2020 election was highly secure, and he lost to Joe Biden by more than 7 million votes.
Election officials have been the victims of pervasive threats as the 2024 election draws closer, CNN has reported, and elections operations have beefed up security in the face of harassment of elections workers and disinformation about the voting process.
“Please beware that this legal exposure extends to Lawyers, Political Operatives, Donors, Illegal Voters, & Corrupt Election Officials.
Trump still faces his own charges over election interference stemming from efforts to subvert the 2020 election, including a four-count indictment in his federal case.",world
New rules from GOP-majority election board could cause disarray in battleground Georgia,"Sara Murray, Jason Morris",09/09/2024,"“The state election board is a mess,” Raffensperger told reporters recently.
There’s no win for me to steal the election for anybody.”King insisted she does not believe the 2020 election was stolen.
The state election board in Georgia does not certify the results of any election.
The state election board also investigates election irregularities.
Janice Johnston, a retired obstetrician who has spread falsehoods about the 2020 election, joined the board in 2022.",world
Trump has lost $4 billion in Truth Social wipeout,Matt Egan,09/09/2024,"Trump Media has lost about three-quarters (74%) of its value since peaking at $66.22 on March 27.
The wipeout reinforces concerns raised by experts who have repeatedly warned that Trump Media’s multi-billion-dollar price tag defies logic.
The company is losing money, generating very little revenue and Truth Social remains a relatively tiny player in social media.
In August, Trump Media launched Truth+, a TV streaming platform on iOS, Android and the Web versions of Truth Social.
It’s possible Trump Media’s stock market fortunes could turn, especially with the former president’s high-profile debate Tuesday with Harris.",world
Video: Buttigieg says Harris will need ‘superhuman focus’ while debating Trump,Jackie Castillo,09/08/2024,"How relevant is this ad to you?
Video player was slow to load content Video content never loaded Ad froze or did not finish loading Video content did not start after ad Audio on ad was too loud Other issues",world
Linda Sun: Why it may have taken so long for authorities to act on alleged Chinese agent in New York,Gloria Pazmino,09/08/2024,"Sun, a 41-year-old naturalized American citizen born in China, had been working for the State of New York for years at that point.
A month later, Sun and her husband were arrested and accused of working on behalf of the Chinese government.
In a 64-page indictment, federal prosecutors said Sun conspired and violated the Foreign Agents Registration Act, known as FARA, and accused her of money laundering, visa fraud and alien smuggling.
Hu was also charged with money laundering conspiracy and conspiracy to commit bank fraud as well as misusing means of identification, federal prosecutors said Tuesday.
Since 2023, other cases have involved individuals accused or convicted of working for the Chinese government, in addition to FARA enforcement specifically.",world
Video: Pope flies to remote area of Papua New Guinea determined to show solidarity,Jackie Castillo,09/08/2024,"How relevant is this ad to you?
Video player was slow to load content Video content never loaded Ad froze or did not finish loading Video content did not start after ad Audio on ad was too loud Other issues",world
"At least 14 killed, 43 injured in Israeli airstrikes, Syrian state news agency says",Hamdi Alkhshali,09/08/2024,"CNN —Israeli airstrikes in central Syria late Sunday have killed more than a dozen people and injured at least 40 others, state-run Syrian news agency SANA reported Monday.
SANA said there had been several explosions and “air defense engagements” in the central region of Syria, including in the Tartous and Hama governorates, that resulted in multiple civilian casualties.
A photo released by Syrian state news agency SANA on Sunday, September 8, shows the Wadi al-Uyun highway in Masyaf, where a fire reportedly caused by Israeli airstrikes has broken out.
SANA said the strikes had damaged the Wadi al-Uyun highway in Masyaf and caused a blaze that firefighters were working to control.
In June, an Israeli airstrike near Aleppo killed an Iranian military adviser, Iranian media reported at the time.",world
Ukraine’s military is struggling with low morale and desertion,"Ivana Kottasová, Kostya Gak",09/08/2024,"Standing outside that office, chain smoking and drinking sweet coffee, he told CNN he just couldn’t handle watching his men die anymore.
They see a lot of enemy drones, artillery and mortars,” one unit commander currently fighting in Pokrovsk told CNN.
A group of Ukrainian soldiers rests after completing a long mission in Russia's Kursk region.
Several commanders told CNN that many officers would not report desertion and unauthorized absences, hoping instead to convince troops to return voluntarily, without facing punishment.
During recent leave in Kyiv, Horetskyi told CNN that while his role has existed for a while, it consisted mostly of paperwork.",world
The US is dismantling nuclear warheads to power next-gen reactors,Ella Nilsen,09/09/2024,"This fuel is set to power the next generation of America’s nuclear reactors — small, modular power stations that are easier and cheaper to build.
They require far less upkeep and physical space than the aging fleet of large nuclear power plants.
“In order to meet our energy security needs and our climate goals, we do need significantly more nuclear energy deployed.”The nuclear power industry is increasingly looking to smaller reactors, which run on HALEU.
The uranium for conventional reactors is enriched up to 5% and HALEU is uranium enriched between 5-20%.
Highly enriched uranium is anything more than 20% and is used in weapons or naval submarines.",world
Apollo Carreon Quiboloy: Fugitive preacher wanted by FBI arrested in Philippines,"Catherine Nicholls, Amarachi Orie, Kathleen Magramo",09/08/2024,"CNN —Filipino pastor Apollo Carreon Quiboloy, who is wanted by both the FBI and local law enforcement officers on sexual abuse and human trafficking charges, has been arrested weeks after a standoff with the police.
The arrest concludes a fraught showdown between the pastor’s supporters and police who had surrounded a compound in the country’s south where Quiboloy had holed up.
ET), the detainees were issued a 24-hour ultimatum to come out from the church’s sprawling 30-hectare (75 acre) compound.
Nearly 2,000 officers surrounded the church compound where Quiboloy was believed to be hiding.
“Although he is a very prominent person… we will treat him like any other arrested person and will respect his rights.",world
‘We’re gonna be fine’: Harris embraces crying woman while campaigning,Cassandra Eldred,09/08/2024,"How relevant is this ad to you?
Video player was slow to load content Video content never loaded Ad froze or did not finish loading Video content did not start after ad Audio on ad was too loud Other issues",world
"Mother of mass shooting suspect called Apalachee High School with warning after getting alarming text, grandfather says","Isabel Rosales, Sara Smart, Dalia Faheid",09/07/2024,"CNN —The mother of the teenager suspected of killing four people during a shooting at a Winder, Georgia, high school called to warn a school counselor before the attack, according to the suspect’s aunt and grandfather.
The Barrow County School District did not return CNN’s request for comment.
Also on Saturday, in front of the high school, more than 100 motorcyclists from different motorcycle clubs staged a rally to show their support.
In the meantime, it’s unclear when classes will resume at Apalachee High School.
The rest of the Barrow County school system is expected to return to class Tuesday.",world
Google’s search business was declared to be a monopoly. Now its ad business is on trial,Brian Fung,09/09/2024,"Specifically, the high-stakes legal battle focuses on the $31 billion portion of Google’s ad business that matches website publishers with advertisers and determines what banner ads appear on countless sites across the web.
Authorities have called for Google’s alleged ad-tech monopoly – which is distinct from Google’s search or search ads business – to be broken up.
Google competes against hundreds of companies that offer their own ad exchanges or ad tech tools, including Amazon, Meta, Microsoft and TikTok to name a few, according to its filings.
Advertisers can choose whether to use Google’s tools, or rival tools, or even divert ad spend away from websites and to other formats and platforms that don’t involve Google’s ad tech, such as on Instagram or Netflix.
Still, a breakup of Google’s ad tech business could potentially trigger a shakeup of the digital advertising industry and Google’s role within it.",world
Kentucky I-75 shooting: Children told to stay home from school as suspect Joseph Couch evades capture for third day,Elizabeth Wolfe,09/09/2024,"Though his motive is still unknown, the attack appeared to be a “random act” of violence, Laurel County Sheriff’s Deputy Gilbert Acciardo said, according to The Associated Press.
Search efforts led by the Kentucky State Police were paused overnight and are set to resume after 8 a.m. Monday morning, Root said.
Just hours before the shooting, Couch legally purchased a firearm and about 1,000 rounds of ammunition, sheriff’s office officials said.
Joseph A. Couch, a suspect in the Saturday shooting, is shown in an undated photograph.
Laurel County Sheriff's Office/ReutersIt is also possible Couch has killed himself somewhere in the wilderness, Laurel County Sheriff’s Office Captain Richard Dalrymple said Sunday.",world
Three Israeli civilians shot dead at Allenby Crossing between West Bank and Jordan,Tamar Michaelis,09/08/2024,"CNN —Three Israeli civilians have been killed in a shooting at the Allenby Crossing on the border between the occupied West Bank and Jordan, Israeli authorities said Sunday.
The Israel Airports Authority, which runs the border terminal at the Allenby Crossing with Jordan, told CNN that the three men who died worked at the crossing.
The Allenby crossing mainly serves Palestinians and foreigners.
It said the crossings would reopen on Monday for passenger crossings only; the Yitzhak Rabin crossing (near Eilat) and the Jordan River crossing (near Beit Shean) from 8 a.m. local time and the Allenby Crossing from 10 a.m local time.
It has been highly critical of Israel’s military operations in the West Bank and Gaza.",world
Hunt widens for suspect who allegedly threw scalding coffee on baby in Australia,Hilary Whiteman,09/09/2024,"Brisbane, Australia CNN —A man wanted for allegedly throwing scalding coffee on a baby in an unprovoked attack at a park in the northern Australian state of Queensland is now the subject of an international manhunt.
Closed circuit television video released by police shows the man running from the scene, wearing a blue plaid shirt, black hat and glasses.
This picture released by Queensland Police shows a man they claim poured hot coffee on a baby in a Brisbane park.
But that’s not always the case.”Police say the man fled Australia a few days after the attack.
I’m very confident that if you’re looking at that footage and you know that person in there, you’re going to know who it is,” Dalton told media on August 28.",world
Xi Jinping had one message for dozens of visiting African leaders: choose China,Simone Mccarthy,09/06/2024,"Beijing CNN —Xi Jinping had a clear aim as he hosted delegates from more than 50 African countries for a major summit in Beijing this week: proving beyond doubt that China is the continent’s premier foreign partner.
Xi and Chinese officials appeared keen to show that Chinese investment, including in African infrastructure, was not over – even as data show Chinese lending for Africa’s development and big-ticket infrastructure has fallen substantially in recent years.
African country leaders had arrived in China seeking seeking investment, trade, and support industrializing their raw commodity sectors to create jobs.
Chinese leader Xi Jinping and his wife Peng Liyuan pose for a group photo with leaders from African nations ahead of a dinner reception in Beijing on September 4.
“Overall (at the forum), the African side created the impression that China remains pivotal,” said Paul Nantulya, a senior China specialist at the Africa Center for Strategic Studies in Washington.",world
Alex Morgan: US soccer legend waves goodbye after playing final minutes of remarkable career,Ben Church,09/09/2024,"CNN —US soccer star Alex Morgan waved an emotional goodbye to her professional career on Sunday, playing her final minutes in the San Diego Wave’s 4-1 loss to the North Carolina Courage.
An emotional Morgan then took off her cleats in the middle of the pitch, before walking off the field in tears.
Morgan signing autographs after her final career match.
Meg Oliphant/Getty ImagesShe then emerged back onto the field after the final whistle to address the thousands of fans who had stayed on.
Meg Oliphant/Getty ImagesMorgan announced her retirement last week with an emotional four-plus minute video on social media.",world
Tyreek Hill: Miami-Dade police officer placed on administrative duty after Dolphins star detained before game,"Kevin Dotson, Ben Morse",09/08/2024,"CNN —The Miami-Dade Police Department placed an officer on administrative leave Sunday after Miami Dolphins star Tyreek Hill was detained prior to the start of the season-opening game.
“Following the incident involving Tyreek Hill, I have initiated an Internal Affairs investigation to ensure a thorough review of the matter.
After the game, Dolphins defensive tackle Calais Campbell said he was also put in handcuffs by police when he attempted to intercede and “deescalate” the situation.
“Apparently, he got a ticket for a moving violation entering the stadium,” Rosenhaus told ESPN.
Mentally, he was very distraught about what happened,” Rosenhaus told ESPN.",world
Video: Tyreek Hill speaks out about being handcuffed by police,John Branch,09/08/2024,"How relevant is this ad to you?
Video player was slow to load content Video content never loaded Ad froze or did not finish loading Video content did not start after ad Audio on ad was too loud Other issues",world
‘Beetlejuice Beetlejuice’ box office: Tim Burton’s long-awaited sequel opens at a ‘stellar’ $110 million,Olesya Dmitracova,09/09/2024,"London CNN —“Beetlejuice Beetlejuice,” a follow-up to Tim Burton’s 1988 classic, has landed with a bang, raking in an estimated $110 million in US ticket sales over its opening weekend, based on Comscore data.
The “stellar domestic opening” is the second-highest ever for a movie in September, topped only by “It,” which earned $123 million in its first weekend in 2017, Boxoffice Pro said Sunday.
“The generation-spanning audiences for the new ‘Beetlejuice’ saw kids and adults dressing up for showings, turning it into an event,” said the official publication of the National Association of Theatre Owners.
“It is that rare sequel that felt like a continuation and not a remake of the original, while still giving audiences what they wanted.”Worldwide, “Beetlejuice Beetlejuice,” which stars Jenna Ortega, Winona Ryder and Michael Keaton, earned an estimated $145.4 million over the weekend, according to Comscore.
“Ortega sold this new film to the under-25s and is emerging as Tim Burton’s new muse à la Johnny Depp,” Boxoffice Pro said.",world
Why people are taking photos of their airport trays now,Maureen O'Hare,09/08/2024,"However, the trend is ruffling more than a few feathers, due to the airport security line being one of the top places in the world where it’s imperative to avoid dilly-dallying.
Let’s also not forget that with all those shoes passing through security trays, you may as well be laying your items straight out on the floor.
In 2018, a European study found that airport trays are the least hygienic part of the airport, carrying more germs than toilets.
So while hand sanitizer doesn’t typically feature in these airport tray photos and videos, it should probably play a key part in the aftercare.
“As long as the staged glamor photos are not causing delays or issues with other passengers in the checkpoint, there are no issues.",world
This 70-year-old med student just graduated. He has this advice for others,Kathleen Magramo,09/07/2024,"Toh Hong Keng/Henry Ahn Photo StudioHis family constantly checked on him, helping to dispel many waves of doubt.
“The only reason why I decided to study medicine was because I wanted something useful to do,” he said.
“If I can’t be a practicing doctor, at least I can look after myself somewhat,” he said.
Feeling a little dejected, he got in touch with his family’s former domestic worker whose daughter recently graduated from medical school in the Philippines.
A week later, in 2019﻿ he packed his bags, found a small apartment on the island and started his medical school journey.",world
Whoopi Goldberg slams Anna Sorokin joining ‘Dancing with the Stars’: ‘They gave her permission to do this’,Jackson Loo,09/07/2024,"How relevant is this ad to you?
Video player was slow to load content Video content never loaded Ad froze or did not finish loading Video content did not start after ad Audio on ad was too loud Other issues",world
Potential Tropical Cyclone Six forms in Gulf of Mexico,"Gene Norman, Mary Gilbert, Ashley R. Williams, Elisa Raffa, Allison Chinchar",09/08/2024,"CNN —Potential Tropical Cyclone Six has formed over the warm waters of the southern Gulf of Mexico with over two months left of 2024’s Atlantic hurricane season, the National Hurricane Center said Sunday.
Mexico’s government issued a tropical storm watch from Barra del Tordo northward to the mouth of the Rio Grande ahead of potential impacts.
It is forecast to strengthen to hurricane status before it reaches the Texas-Louisiana Gulf Coast, according to the hurricane center.
Data from Colorado State University researchers show about 68% of all Atlantic tropical activity typically occurs after September 1.
Tropical storm conditions are possible within the watch area along the northern coast of Mexico beginning Tuesday.",world
Taylor Swift and Travis Kelce serve couple goals at the US Open final,Alli Rosenbloom,09/08/2024,"CNN —Taylor Swift and Travis Kelce are in their tennis era.
Swift and Kelce were among the famous faces shown on broadcast of the US Open men’s singles final on Sunday.
Matthew McConaughey at the US Open final in New York on Sunday.
(From left) Eddie Redmayne, Anna Wintour and Jon Bon Jovi at the US Open final on Sunday in New York.
Angela Weiss/AFP/Getty ImagesFritz is the first American man to advance to the US Open final since Andy Roddick in 2006.",world
"Agaie, Nigeria: Explosion kills at least 48 people as fuel tanker collides with truck",Associated Press,09/08/2024,"ABUJA, Nigeria Associated Press —A fuel tanker collided head-on with another truck in Nigeria on Sunday causing an explosion that killed at least 48 people, the country’s emergency response agency said.
The fuel tanker was also carrying cattle in the Agaie area in north-central Niger state and at least 50 of them were burned alive, Abdullahi Baba-Arab, director-general of the Niger State Emergency Management Agency, said.
Search and rescue operations were underway at the scene of the accident, Baba-Arab said.
Baba-Arab said initially that 30 bodies were found but in a later statement said an additional 18 bodies of victims who were burned to death in the collision were found.
In 2020 alone, there were 1,531 gasoline tanker crashes resulting in 535 fatalities and 1,142 injuries, according to Nigeria’s Federal Road Safety Corps.",world
Could a $1.4M portrait found in a Maine attic be a long-lost Rembrandt?,Oscar Holland,09/08/2024,"The auction house believes this to be the highest sum ever paid for an artwork at a Maine auction.
Thomaston Place Auction GallerieLost from the recordsRembrandt scholar Gary Schwartz said a potential buyer had earlier sought his opinion on the Maine portrait.
03:09 - Source: CNNArt historian Volker Manuth, who authored publisher Taschen’s 2019 monograph “Rembrandt: The Complete Paintings,” told CNN he was also approached by a potential buyer of the Maine portrait.
But inclusion in a major catalog, or the backing of a big auction house, can increase a painting’s value manyfold.
Schwartz suggested that, should the Maine portrait receive similar endorsement, it might be revalued at up to $5 million.",world
"NFL Week 1 Sunday: Lions win OT thriller, Cowboys dominate Browns and Caleb Williams has debut victory",Ben Morse,09/09/2024,"CNN —Another Sunday of NFL Week 1 action, another mountain of storylines to pick through after wall-to-wall drama.
Dallas Cowboys quarterback Dak Prescott celebrates after a touchdown during the Cowboys' 33-17 victory over the Cleveland Browns in Cleveland on Sunday, September 8.
Ed Zurga/AP Kansas City Chiefs quarterback Patrick Mahomes scrambles during the game against the Baltimore Ravens in Kansas City, Missouri, on September 5.
Jay Biggerstaff/USA Today Sports/Reuters Fans enter Arrowhead Stadium in Kansas City, Missouri, ahead of the game between the Kansas City Chiefs and the Baltimore Ravens on September 5.
Caleb Williams gets debut victoryIt wasn’t pretty, but Caleb Williams’ life in the NFL is off to a winning start.",world
Watch: Video shows California wildfires that are forcing evacuations,Camila Bernal,09/08/2024,"How relevant is this ad to you?
Video player was slow to load content Video content never loaded Ad froze or did not finish loading Video content did not start after ad Audio on ad was too loud Other issues",world
"A portrait of one of the few young, female truckers in France",Jacqui Palumbo,01/06/2023,"Amélie is one of the few female truck drivers in France.
At the time photographer Yohanne Lamoulère met her in 2019, she was driving from Arles to Castellón, Spain, and back at least twice a week, Lamoulère explained over email.
The photographer, whose uncle is also a trucker, met Amélie at a truck show in southeastern France where drivers decorate their vehicles for a competition.
Lamoulère then shot her portrait of the newly-engaged couple in front of Amélie’s truck, the bouquet placed on the dashboard above their heads.
She said it’s rare to see a young woman “aboard monsters like Amélie’s truck” and finds it “very beautiful” to see her forge her own path.",world
They were due to leave for their dream cruise in May. Three months on they’re still stuck at the departure port,Julia Buckley,09/07/2024,"CNN —It was the years-long cruise that was supposed to set sail, but saw its departure postponed… postponed… and postponed again.
However, there’s one crucial difference between Life at Sea and Villa Vie Residences, the company attempting the 3.5-year cruise: Villa Vie has a ship.
This meant the certifications had expired – and instead of simply renewing them, Villa Vie was obliged to start from scratch.
Olsen cruise ship.
‘Not what we were expecting’Angela and Steve Theriac have been traveling around Europe while waiting to set sail.",world
The US dominates the Olympics. Why can’t it do the same at the Paralympics?,Jack Hillcox,09/07/2024,"CNN —Olympic fans looking at the Paralympics final medal table are faced with an unfamiliar sight: Team USA lagging behind in the medal table.
In the final 2024 medal table, the US finished third – behind China and Great Britain – with 36 gold medals and 105 in total.
Between 1976 and 1996, Team USA topped the medal table at every single Paralympics.
The Sydney Paralympics, however, were seen by a more modest 300 million people – in other words, 92% fewer people saw the Paralympics than the Olympics that year.
In 2012, UK broadcaster Channel 4 showed over 400 hours of Paralympics coverage.",world
Pharrell’s Joopiter puts on sale of G-Dragon’s prized possessions,"Mike Valerio, Stephy Chung",09/08/2024,"The sale features dozens of items owned by G-Dragon – an avid collector of art, design and fashion – including works he created and customized himself.
Williams’ auction house, Joopiter, is hosting the online sale and an accompanying exhibition, at the Daelim Museum.
JoopiterJoopiter has collaborated with a slew of celebrities since Williams founded his “digital-first” auction house in 2022.
“The wrong attitude is going in and trying to become a collector.”Nike x Peaceminusone Para-noise Air Force 1 sneakers encrusted with crystals featured in the G-Dragon auction.
That is how you build a really beautiful, special collection.”She pointed to Joopiter’s inaugural auction — a sale of almost 50 items from Williams’ personal stash, that raked in over $5 million.",world
"She’s dated in 25 countries, these are her most romantic destinations",Alexandra Gilwit,09/07/2024,"How relevant is this ad to you?
Video player was slow to load content Video content never loaded Ad froze or did not finish loading Video content did not start after ad Audio on ad was too loud Other issues",world
This is one of America’s hottest jobs right now,Bryan Mena,09/09/2024,"The health care industry is still the leading job creator, though law enforcement is also seeing some momentum.
A sizable chunk of those openings are in law enforcement.
She added that there’s also been a huge spike in job postings on ZipRecruiter listing “law enforcement” as a desired skill.
Pollak of ZipRecruiter said workers don’t usually pivot to law enforcement from a completely unrelated career.
But that could change if the job market keeps sliding.",world
Boeing Starliner capsule returns home from space — without astronauts on board,"Jackie Wattles, Ashley Strickland",09/06/2024,"Relive the Boeing Starliner capsule’s return home as it happened.
CNN —Boeing’s Starliner capsule returned from the International Space Station Friday evening — concluding its nearly three-month stay in space.
This screengrab taken from a video shows Boeing Starliner as it touches down in White Sands Space Harbor, New Mexico, at 12:01 a.m.
Boeing and NASA teams work around NASA's Boeing Crew Flight Test Starliner spacecraft after it landed uncrewed at White Sands, New Mexico, on September 7.
NASA astronauts Mike Fincke, left, and Scott Tingle look inside NASA's Boeing Crew Flight Test Starliner spacecraft after it landed uncrewed at White Sands Missile Range’s Space Harbor, in New Mexico, on September 7.",world
Pregnant shark monitored by scientists eaten by a larger predator,Ashley Strickland,09/06/2024,"Habitat loss, overfishingand their fate as bycatch in fishing nets have threatened porbeagle shark populations.
Northwest Atlantic porbeagle sharks are listed as vulnerable on the International Union for Conservation of Nature Red List of Threatened Species.
The team pieced together several factors that indicated the shark had been eaten and the tag excreted by a larger predator that gobbled up the shark, Anderson said.
Unusual suspectsPorbeagles belong to a family called lamnid sharks, which also includes great white sharks and mako sharks.
Gutteridge, who was not involved in the study, agrees that a white shark is the most likely culprit.",world
Ancient asteroid 20 times larger than the one that wiped out the dinosaurs likely hit Jupiter’s moon Ganymede,Ashley Strickland,09/05/2024,"CNN —Jupiter’s moon Ganymede may have shifted on its axis when a massive asteroid smashed into it about 4 billion years ago, according to a new study.
Ganymede, the largest moon in the solar system, is even bigger than Mercury and the dwarf planet Pluto.
The crater left behind on Ganymede was 25% the size of the Jupiter moon, according to the study.
Understanding how the impact altered the moon could reveal insights into its intriguing internal structure, Hirata said.
“I want to understand the origin and evolution of Ganymede and other Jupiter moons,” he said.",world
"Common food dye can make skin transparent in mice, study finds",Katie Hunt,09/05/2024,"“But when we put them together, we were able to achieve transparency of the mouse skin.”Once the dye had completely diffused into the skin, the skin became transparent.
In mice, the researchers were able to observe blood vessels directly in the surface of the brain through the transparent skin of the skull.
Guosong Hong/Stanford UniversityThe transparent areas take on an orangish color, Ou said, similar to that of the food dye.
5 dye, a common food coloring, was used at a low concentration in the study, and its effects were easily undone, according to the researchers.
“However, a partially transparent (mouse) will already enable numerous research opportunities to answer questions relating to development, regeneration, as well as aging.”",world
Asteroid 2024 RW1 burns up in Earth’s atmosphere over Philippines,"Monica Garrett, Steve Tuemmler",09/04/2024,"CNN —A roughly 1-meter (3-foot) asteroid burned up in Earth’s atmosphere over the Philippines near Luzon Island early Wednesday afternoon, according to NASA.
This screen grab taken from a video shows an asteroid burning up in the night sky as witnessed from Gonzaga in Cagayan province, Philippines, on September 4.
Allan Madelar/FacebookThe Catalina Sky Survey discovered the object, initially called CAQTDL2 but now named 2024 RW1, this morning.
“This is just the ninth asteroid that humankind has ever spotted before impact,” ESA tweeted.
The object was harmless as it was small enough to burn up in the atmosphere upon entry.",world
